nct_id,location,continent,iso
NCT02824718,France,Europe,FRA
NCT02830789,Denmark,Europe,DNK
NCT02833857,Belgium,Europe,BEL
NCT02833857,Germany,Europe,DEU
NCT02833857,Lithuania,Europe,LTU
NCT02833857,Poland,Europe,POL
NCT02833857,United Kingdom,Europe,GBR
NCT02833857,United States,North America,USA
NCT02839655,France,Europe,FRA
NCT02843542,Israel,Middle East,ISR
NCT02845336,United States,North America,USA
NCT02854345,France,Europe,FRA
NCT02859896,Chile,South America,CHL
NCT02859896,United States,North America,USA
NCT02890472,France,Europe,FRA
NCT02895906,United States,North America,USA
NCT02904330,United Kingdom,Europe,GBR
NCT02946918,United States,North America,USA
NCT02953288,China,East Asia,CHN
NCT02966093,China,East Asia,CHN
NCT02973802,United Kingdom,Europe,GBR
NCT02973997,United States,North America,USA
NCT02989103,United States,North America,USA
NCT02989428,Denmark,Europe,DNK
NCT03002623,United States,North America,USA
NCT03004209,"Korea, Republic of",East Asia,KOR
NCT03009357,"Korea, Republic of",East Asia,KOR
NCT03011736,United States,North America,USA
NCT03012620,France,Europe,FRA
NCT03013257,Hong Kong,East Asia,HKG
NCT03023748,Hong Kong,East Asia,HKG
NCT03027557,Denmark,Europe,DNK
NCT03032198,United States,North America,USA
NCT03036956,Pakistan,South Asia,PAK
NCT03039439,United States,North America,USA
NCT03046524,United States,North America,USA
NCT03051126,United States,North America,USA
NCT03052075,United States,North America,USA
NCT03057925,China,East Asia,CHN
NCT03061318,Chile,South America,CHL
NCT03063190,Brazil,South America,BRA
NCT03066076,Austria,Europe,AUT
NCT03072160,United States,North America,USA
NCT03082742,Brazil,South America,BRA
NCT03091140,Greece,Europe,GRC
NCT03093909,United States,North America,USA
NCT03094416,United States,North America,USA
NCT03096613,China,East Asia,CHN
NCT03102099,China,East Asia,CHN
NCT03105648,Taiwan,East Asia,TWN
NCT03106337,United States,North America,USA
NCT03106935,China,East Asia,CHN
NCT03107078,China,East Asia,CHN
NCT03108222,United States,North America,USA
NCT03109847,United States,North America,USA
NCT03110848,Italy,Europe,ITA
NCT03114267,France,Europe,FRA
NCT03115515,United States,North America,USA
NCT03120221,Israel,Middle East,ISR
NCT03122496,United States,North America,USA
NCT03122847,Denmark,Europe,DNK
NCT03123406,China,East Asia,CHN
NCT03128255,Germany,Europe,DEU
NCT03131206,United States,North America,USA
NCT03131726,Sweden,Europe,SWE
NCT03134976,United States,North America,USA
NCT03157466,Italy,Europe,ITA
