index,nct_id,location,continent,iso
947,NCT04936698,Taiwan,East Asia,TWN
949,NCT04991493,China,East Asia,CHN
950,NCT05016518,"Korea, Republic of",East Asia,KOR
952,NCT05103774,Egypt,Africa,EGY
953,NCT05126108,France,Europe,FRA
954,NCT05151120,France,Europe,FRA
955,NCT05251194,"Korea, Republic of",East Asia,KOR
960,NCT00001160,United States,North America,USA
963,NCT00001242,United States,North America,USA
964,NCT00169806,United States,North America,USA
965,NCT00342446,United States,North America,USA
967,NCT00410761,Australia,Pacifica,AUS
967,NCT00410761,Austria,Europe,AUT
967,NCT00410761,Belgium,Europe,BEL
967,NCT00410761,Brazil,South America,BRA
967,NCT00410761,Canada,North America,CAN
967,NCT00410761,Czechia,Europe,CZE
967,NCT00410761,Denmark,Europe,DNK
967,NCT00410761,France,Europe,FRA
967,NCT00410761,Germany,Europe,DEU
967,NCT00410761,Hungary,Europe,HUN
967,NCT00410761,India,South Asia,IND
967,NCT00410761,Italy,Europe,ITA
967,NCT00410761,"Korea, Republic of",East Asia,KOR
967,NCT00410761,Mexico,North America,MEX
967,NCT00410761,Netherlands,Europe,NLD
967,NCT00410761,Poland,Europe,POL
967,NCT00410761,Portugal,Europe,PRT
967,NCT00410761,Romania,Europe,ROU
967,NCT00410761,Russian Federation,North Asia,RUS
967,NCT00410761,Serbia,Europe,SRB
967,NCT00410761,Spain,Europe,ESP
967,NCT00410761,Sweden,Europe,SWE
967,NCT00410761,Switzerland,Europe,CHE
967,NCT00410761,United States,North America,USA
968,NCT00537095,Belgium,Europe,BEL
968,NCT00537095,Denmark,Europe,DNK
968,NCT00537095,France,Europe,FRA
968,NCT00537095,Norway,Europe,NOR
968,NCT00537095,Spain,Europe,ESP
968,NCT00537095,Sweden,Europe,SWE
968,NCT00537095,Switzerland,Europe,CHE
970,NCT00591032,Germany,Europe,DEU
971,NCT00673010,United States,North America,USA
974,NCT01074684,Italy,Europe,ITA
975,NCT01087619,Sweden,Europe,SWE
976,NCT01141309,United States,North America,USA
977,NCT01145040,Germany,Europe,DEU
979,NCT01236547,United States,North America,USA
980,NCT01263951,United States,North America,USA
981,NCT01298323,Australia,Pacifica,AUS
981,NCT01298323,Austria,Europe,AUT
981,NCT01298323,Belgium,Europe,BEL
981,NCT01298323,Brazil,South America,BRA
981,NCT01298323,Bulgaria,Europe,BGR
981,NCT01298323,Canada,North America,CAN
981,NCT01298323,China,East Asia,CHN
