index,nct_id,category_age
545,NCT00768820,[0-17]
545,NCT00768820,[18-65]
545,NCT00768820,[65 and more]
550,NCT00781417,[18-65]
550,NCT00781417,[65 and more]
551,NCT00782366,[18-65]
551,NCT00782366,[65 and more]
555,NCT00784173,[0-17]
555,NCT00784173,[18-65]
555,NCT00784173,[65 and more]
560,NCT00792857,[18-65]
560,NCT00792857,[65 and more]
565,NCT00796913,[18-65]
565,NCT00796913,[65 and more]
573,NCT00803712,[18-65]
573,NCT00803712,[65 and more]
575,NCT00804830,[0-17]
575,NCT00804830,[18-65]
575,NCT00804830,[65 and more]
577,NCT00822289,[18-65]
577,NCT00822289,[65 and more]
579,NCT00823303,[18-65]
579,NCT00823303,[65 and more]
584,NCT00828347,[18-65]
584,NCT00828347,[65 and more]
588,NCT00849888,[0-17]
591,NCT00858104,[18-65]
591,NCT00858104,[65 and more]
594,NCT00859612,[18-65]
594,NCT00859612,[65 and more]
596,NCT00877630,[0-17]
596,NCT00877630,[18-65]
596,NCT00877630,[65 and more]
600,NCT00877981,[0-17]
600,NCT00877981,[18-65]
600,NCT00877981,[65 and more]
603,NCT00887107,[18-65]
603,NCT00887107,[65 and more]
606,NCT00888069,[18-65]
606,NCT00888069,[65 and more]
610,NCT00891813,[18-65]
610,NCT00891813,[65 and more]
614,NCT00902122,[18-65]
614,NCT00902122,[65 and more]
617,NCT00916955,[0-17]
617,NCT00916955,[18-65]
617,NCT00916955,[65 and more]
620,NCT00917189,[0-17]
621,NCT00917241,[18-65]
621,NCT00917241,[65 and more]
624,NCT00921050,[18-65]
624,NCT00921050,[65 and more]
628,NCT00928408,[18-65]
628,NCT00928408,[65 and more]
631,NCT00936650,[18-65]
631,NCT00936650,[65 and more]
637,NCT00936988,[18-65]
637,NCT00936988,[65 and more]
640,NCT00946296,[18-65]
640,NCT00946296,[65 and more]
645,NCT00958113,[0-17]
645,NCT00958113,[18-65]
645,NCT00958113,[65 and more]
653,NCT00958451,[18-65]
653,NCT00958451,[65 and more]
655,NCT00961701,[18-65]
655,NCT00961701,[65 and more]
657,NCT00962221,[18-65]
657,NCT00962221,[65 and more]
661,NCT00973336,[18-65]
661,NCT00973336,[65 and more]
665,NCT00975221,[18-65]
