index,nct_id,location,continent,iso
1580,NCT02341417,Czechia,Europe,CZE
1580,NCT02341417,France,Europe,FRA
1580,NCT02341417,Germany,Europe,DEU
1580,NCT02341417,Greece,Europe,GRC
1580,NCT02341417,Hungary,Europe,HUN
1580,NCT02341417,Italy,Europe,ITA
1580,NCT02341417,Poland,Europe,POL
1580,NCT02341417,Russian Federation,North Asia,RUS
1580,NCT02341417,Ukraine,Europe,UKR
1580,NCT02341417,United States,North America,USA
1583,NCT02352766,United States,North America,USA
1587,NCT02373995,Italy,Europe,ITA
1598,NCT02378298,Sweden,Europe,SWE
1602,NCT02381457,Australia,Pacifica,AUS
1602,NCT02381457,Ireland,Europe,IRL
1602,NCT02381457,Spain,Europe,ESP
1602,NCT02381457,Sweden,Europe,SWE
1602,NCT02381457,United Kingdom,Europe,GBR
1602,NCT02381457,United States,North America,USA
1609,NCT02384668,Denmark,Europe,DNK
1614,NCT02393183,"Iran, Islamic Republic of",Middle East,IRN
1618,NCT02393690,United States,North America,USA
1621,NCT02397109,France,Europe,FRA
1625,NCT02398721,Hong Kong,East Asia,HKG
1627,NCT02399475,United States,North America,USA
1630,NCT02408887,United States,North America,USA
1633,NCT02410928,Turkey,Middle East,TUR
1638,NCT02417389,Italy,Europe,ITA
1643,NCT02422368,"Iran, Islamic Republic of",Middle East,IRN
1647,NCT02430584,United States,North America,USA
1651,NCT02432274,France,Europe,FRA
1651,NCT02432274,Germany,Europe,DEU
1651,NCT02432274,Italy,Europe,ITA
1651,NCT02432274,Spain,Europe,ESP
1651,NCT02432274,United Kingdom,Europe,GBR
1651,NCT02432274,United States,North America,USA
1653,NCT02432599,France,Europe,FRA
1657,NCT02440581,United States,North America,USA
1663,NCT02460328,Thailand,Southest Asia,THA
1664,NCT02462512,"Korea, Republic of",East Asia,KOR
1667,NCT02463409,United States,North America,USA
1670,NCT02464072,Brazil,South America,BRA
1676,NCT02491502,Bulgaria,Europe,BGR
1678,NCT02491567,Greece,Europe,GRC
1686,NCT02500342,Ireland,Europe,IRL
1686,NCT02500342,Switzerland,Europe,CHE
1691,NCT02516774,France,Europe,FRA
