,PMID,Population
3105,12613328,female
3108,12613328,male
3110,12613328,middle aged
3112,15776598,adult
3113,15776598,female
3116,15776598,male
3121,12500522,female
3124,12500522,middle aged
3134,12580868,adult
3136,12580868,female
3144,12580868,male
3164,14503896,adolescent
3165,14503896,child
3166,14503896,"child, preschool"
3168,14503896,female
3172,14503896,male
3178,11982986,adult
3180,11982986,female
3187,11982986,"infant, newborn"
3196,12444384,adult
3198,12444384,female
3201,12444384,middle aged
3205,12362592,child
3219,12945078,adult
3220,12945078,aged
3226,12945078,female
3229,12945078,male
3231,12945078,middle aged
3238,12069220,adult
3245,12069220,male
3252,12945184,child
3265,11916762,adolescent
3267,11916762,child
3268,11916762,"child, preschool"
3271,11916762,female
3277,11916762,male
3283,15562741,adult
3284,15562741,child
3292,15562741,"infant, newborn"
3308,12943834,female
3312,12943834,male
3313,12943834,middle aged
3327,14710590,adult
3328,14710590,female
3349,12494301,child
3353,12494301,female
3358,12494301,male
3375,12540404,adolescent
3376,12540404,adult
3377,12540404,aged
3380,12540404,child
3381,12540404,"child, preschool"
3384,12540404,female
3391,12540404,male
3392,12540404,middle aged
3399,12675959,child
3403,12675959,female
3407,12675959,male
3419,12446916,adult
3423,12446916,female
3428,12446916,male
3429,12446916,middle aged
3441,12208720,adolescent
3442,12208720,adult
3443,12208720,aged
3444,12208720,child
3446,12208720,female
3450,12208720,male
3451,12208720,middle aged
3455,12729480,adolescent
3456,12729480,adult
3459,12729480,child
3461,12729480,female
3464,12729480,male
3468,12574230,adult
3469,12574230,aged
3470,12574230,"aged, 80 and over"
3474,12574230,female
3478,12574230,male
3479,12574230,middle aged
3483,12919152,adolescent
3484,12919152,adult
3485,12919152,child
3487,12919152,female
3490,12919152,"infant, newborn"
3492,12919152,male
3501,12870222,adolescent
3502,12870222,child
3503,12870222,"child, preschool"
3505,12870222,female
3511,12870222,infant
3513,12870222,male
3517,12581471,adult
3518,12581471,child
3521,12581471,female
3533,12845488,adult
3536,12845488,female
3542,12845488,male
3546,14690034,adolescent
3547,14690034,child
3548,14690034,female
3555,14690034,male
3562,14974907,adolescent
3566,14974907,child
3568,14974907,female
3573,14974907,male
3582,12733841,adolescent
3583,12733841,adult
3586,12733841,female
3593,12733841,male
3594,12733841,middle aged
3601,12236085,adult
3603,12236085,female
3607,12236085,male
3608,12236085,middle aged
3613,12762633,adult
3617,12762633,female
3622,12762633,male
3623,12762633,middle aged
3628,12862416,child
3640,12914398,adolescent
3641,12914398,adult
3643,12914398,aged
3646,12914398,female
3651,12914398,male
3653,12914398,middle aged
3693,12442085,female
3721,14623750,adult
3722,14623750,aged
3723,14623750,"aged, 80 and over"
3725,14623750,female
3728,14623750,male
3730,14623750,middle aged
3734,12727994,adult
3736,12727994,female
3742,12727994,male
3752,12699588,adolescent
3753,12699588,adult
3759,12699588,female
3766,12699588,male
3767,12699588,middle aged
3775,12915634,adult
3780,12915634,female
3795,12508180,adolescent
3796,12508180,adult
3799,12508180,child
3802,12508180,female
3805,12508180,male
3806,12508180,middle aged
3809,14751036,adolescent
3810,14751036,adult
3831,12906364,adult
3834,12906364,female
3843,12463429,adolescent
3844,12463429,adult
3845,12463429,aged
3848,12463429,female
3853,12463429,male
3854,12463429,middle aged
3865,11819103,adult
3866,11819103,aged
3870,11819103,female
3874,11819103,male
3875,11819103,middle aged
3879,12699595,adolescent
3881,12699595,child
3882,12699595,female
3887,12699595,male
3898,12917062,aged
3899,12917062,"aged, 80 and over"
3900,12917062,female
3904,12917062,male
3905,12917062,middle aged
3910,12605179,female
3916,12605179,male
3917,12605179,middle aged
3936,12791623,adolescent
3937,12791623,child
3938,12791623,female
3943,12791623,male
3950,12230425,adult
3956,12230425,male
3958,11893102,adolescent
3959,11893102,adult
3960,11893102,aged
3961,11893102,"aged, 80 and over"
3962,11893102,child
3963,11893102,female
3968,11893102,male
3969,11893102,middle aged
3979,12457449,adolescent
3982,12457449,child
3986,12457449,female
3993,12457449,male
3998,14615862,aged
4006,14615862,middle aged
4009,12001982,adolescent
4010,12001982,adult
4012,12001982,child
4014,12001982,female
4020,12001982,"infant, newborn"
4022,12001982,male
4036,12035935,child
4038,12035935,female
4044,12035935,male
4047,12458844,adult
4048,12458844,aged
4050,12458844,female
4054,12458844,male
4055,12458844,middle aged
4060,12585349,female
4064,12585349,"infant, newborn"
4089,11890636,child
4106,14514342,adult
4107,14514342,aged
4109,14514342,female
4116,14514342,male
4117,14514342,middle aged
4132,11833000,aged
4133,11833000,"aged, 80 and over"
4134,11833000,female
4139,11833000,male
4140,11833000,middle aged
4143,14564120,adult
4144,14564120,female
4149,14564120,"infant, newborn"
4150,14564120,male
4154,12518249,adolescent
4155,12518249,child
4157,12518249,female
4164,12518249,male
4171,12493682,female
4179,12493682,male
4199,12585342,adolescent
4206,12585342,child
4212,12585342,male
4230,12864797,child
4232,12864797,female
4237,12864797,infant
4240,12864797,male
4246,14640988,aged
4249,14640988,female
4255,14640988,male
4257,14640988,middle aged
4261,11916282,adult
4267,11916282,female
4271,11916282,male
4273,11916282,middle aged
4277,12742217,aged
4282,12742217,male
4284,12471001,adolescent
4285,12471001,adult
4286,12471001,aged
4288,12471001,child
4290,12471001,female
4296,12471001,male
4297,12471001,middle aged
4309,12720531,adolescent
4311,12720531,female
4314,12720531,male
4333,12097201,adolescent
4334,12097201,adult
4335,12097201,aged
4338,12097201,female
4345,12097201,male
4346,12097201,middle aged
4365,12402405,adolescent
4366,12402405,adult
4367,12402405,aged
4369,12402405,female
4372,12402405,male
4373,12402405,middle aged
4394,11936473,adult
4397,11936473,female
4405,11936473,middle aged
4417,12975785,adult
4419,12975785,female
4433,12027234,aged
4436,12027234,female
4442,12225647,aged
4443,12225647,female
4448,12474915,adult
4449,12474915,aged
4452,12474915,female
4456,12474915,middle aged
4486,12116555,adolescent
4487,12116555,adult
4488,12116555,aged
4491,12116555,female
4495,12116555,"infant, newborn"
4497,12116555,male
4498,12116555,middle aged
4505,12720530,adult
4508,12720530,female
4512,12720530,male
4513,12720530,middle aged
4515,12532684,adolescent
4516,12532684,adult
4517,12532684,aged
4518,12532684,child
4519,12532684,"child, preschool"
4526,12532684,"infant, newborn"
4528,12532684,middle aged
4549,12134778,adult
4552,12134778,female
4559,12748250,adolescent
4560,12748250,adult
4561,12748250,aged
4562,12748250,"aged, 80 and over"
4563,12748250,child
4567,12748250,female
4571,12748250,male
4572,12748250,middle aged
4579,12121402,adult
4580,12121402,female
4592,11982987,adult
4594,11982987,female
4623,12213665,adolescent
4624,12213665,adult
4627,12213665,female
4633,12213665,male
4659,11751062,adolescent
4660,11751062,adult
4661,11751062,aged
4664,11751062,child
4666,11751062,female
4670,11751062,male
4671,11751062,middle aged
4682,12082694,adult
4683,12082694,aged
4685,12082694,female
4691,12082694,male
4692,12082694,middle aged
4698,11982740,adult
4699,11982740,aged
4702,11982740,female
4705,11982740,middle aged
4708,12005000,adult
4709,12005000,female
4713,12005000,male
4727,12699526,male
4728,12699526,middle aged
4734,15068231,adult
4735,15068231,aged
4736,15068231,female
4739,15068231,middle aged
4747,12722837,adult
4750,12722837,female
4756,12722837,male
4757,12722837,middle aged
4761,12762635,child
4769,12762635,"infant, newborn"
4780,12447634,adult
4786,12447634,male
4790,12058305,adolescent
4791,12058305,adult
4792,12058305,aged
4793,12058305,"aged, 80 and over"
4794,12058305,female
4800,12058305,male
4801,12058305,middle aged
4813,12002938,male
4814,12002938,middle aged
4818,14580289,adult
4821,14580289,female
4824,14580289,middle aged
4826,12827092,aged
4828,12827092,female
4834,12580741,adolescent
4835,12580741,child
4837,12580741,female
4842,12580741,male
4845,12161472,adult
4849,12161472,female
4860,12973970,adult
4862,12973970,female
4869,12762640,adolescent
4872,12762640,child
4892,12136811,female
4896,12136811,middle aged
4897,11875842,adolescent
4898,11875842,adult
4899,11875842,aged
4900,11875842,child
4901,11875842,female
4905,11875842,male
4906,11875842,middle aged
4913,12371388,adolescent
4914,12371388,adult
4915,12371388,aged
4917,12371388,female
4922,12371388,male
4923,12371388,middle aged
4935,11916616,"child, preschool"
4938,11916616,female
4962,14655457,adolescent
4963,14655457,adult
4964,14655457,female
4970,14655457,male
4977,12410951,adolescent
4978,12410951,adult
4979,12410951,aged
4982,12410951,female
4989,12410951,male
4990,12410951,middle aged
4997,12739739,female
5002,12739739,male
5003,12739739,middle aged
5006,14586508,adolescent
5007,14586508,adult
5008,14586508,aged
5010,14586508,female
5015,14586508,male
5016,14586508,middle aged
5020,12148388,adult
5023,12148388,female
5030,11942013,adult
5032,11942013,female
5039,11942013,middle aged
5044,15022401,child
5047,15022401,female
5051,15022401,male
5054,12404520,adult
5057,12404520,male
5062,12693603,adolescent
5063,12693603,adult
5064,12693603,aged
5065,12693603,child
5066,12693603,"child, preschool"
5068,12693603,female
5073,12693603,infant
5074,12693603,"infant, newborn"
5076,12693603,male
5077,12693603,middle aged
5102,12729476,adult
5103,12729476,aged
5105,12729476,female
5108,12729476,middle aged
5114,12100072,adolescent
5115,12100072,adult
5116,12100072,aged
5121,12100072,female
5126,12100072,middle aged
5133,12602531,adult
5134,12602531,aged
5139,12602531,female
5144,12602531,male
5145,12602531,middle aged
5176,12951976,adolescent
5177,12951976,adult
5178,12951976,aged
5180,12951976,female
5183,12951976,male
5184,12951976,middle aged
5195,15072284,adult
5197,15072284,child
5199,15072284,female
5206,15072284,male
