,PMID,Population
124988,23688788,adult
124989,23688788,aged
124991,23688788,female
124995,23688788,male
124996,23688788,middle aged
125005,24321191,child
125008,24321191,female
125014,24321191,male
125015,24321191,middle aged
125026,24771746,female
125030,24771746,middle aged
125036,23585205,adult
125037,23585205,aged
125038,23585205,"aged, 80 and over"
125039,23585205,female
125045,23585205,male
125046,23585205,middle aged
125053,23108556,adolescent
125054,23108556,adult
125055,23108556,aged
125057,23108556,female
125063,23108556,male
125064,23108556,middle aged
125072,23108556,young adult
125074,22877957,female
125086,22682548,child
125089,22682548,male
125094,22075140,female
125099,22075140,middle aged
125102,23179319,adult
125103,23179319,aged
125105,23179319,female
125110,23179319,male
125111,23179319,middle aged
125121,23179319,young adult
125124,24117750,male
125126,24117750,middle aged
125131,24227901,adult
125132,24227901,female
125144,23535966,female
125155,23535966,male
125162,23979952,adult
125163,23979952,female
125167,23979952,"infant, newborn"
125168,23979952,male
125174,22001633,male
125175,22001633,middle aged
125181,23525289,adult
125189,23525289,male
125190,23525289,middle aged
125199,24241350,female
125211,22083604,female
125214,22083604,male
125217,22094295,adult
125218,22094295,female
125237,23525293,aged
125238,23525293,"aged, 80 and over"
125240,23525293,female
125258,23410708,male
125259,23410708,middle aged
125268,23921839,adult
125269,23921839,female
125276,23640567,adult
125279,23640567,male
125284,23201844,female
125327,23920148,adult
125328,23920148,female
125332,23920148,"infant, newborn"
125333,23920148,male
125337,23609264,female
125340,23609264,middle aged
125342,21737999,aged
125343,21737999,"aged, 80 and over"
125344,21737999,female
125350,21737999,male
125352,21737999,middle aged
125356,22510070,female
125360,22510070,middle aged
125368,23337134,male
125369,23337134,middle aged
125381,23211880,aged
125382,23211880,female
125386,23211880,male
125387,23211880,middle aged
125398,24239133,female
125404,24239133,middle aged
125411,24196135,male
125414,24196135,middle aged
125418,22269766,adult
125423,22269766,female
125443,23907943,adolescent
125444,23907943,adult
125445,23907943,aged
125449,23907943,female
125454,23907943,male
125455,23907943,middle aged
125463,23214062,female
125477,23336574,female
125483,23336574,male
125489,23333635,adolescent
125490,23333635,adult
125491,23333635,aged
125494,23333635,female
125504,23333635,young adult
125505,24629810,aged
125506,24629810,"aged, 80 and over"
125507,24629810,female
125512,24629810,male
125513,24629810,middle aged
125528,22577172,aged
125529,22577172,"aged, 80 and over"
125539,23458048,adult
125541,23458048,female
125555,23164529,adolescent
125556,23164529,adult
125559,23164529,child
125560,23164529,"child, preschool"
125563,23164529,female
125569,23164529,male
125578,21479880,adolescent
125579,21479880,adult
125580,21479880,aged
125582,21479880,female
125585,21479880,male
125586,21479880,middle aged
125592,21479880,young adult
125594,23337148,female
125597,23337148,male
125598,23337148,middle aged
125601,24228633,aged
125606,24228633,male
125610,23737589,adult
125611,23737589,female
125624,23173919,aged
125625,23173919,"aged, 80 and over"
125634,22675840,adult
125642,22675840,male
125649,23707204,female
125655,23707204,middle aged
125661,23253072,adult
125662,23253072,aged
125663,23253072,"aged, 80 and over"
125666,23253072,female
125671,23253072,male
125672,23253072,middle aged
125682,23095630,adult
125684,23095630,female
125688,23095630,male
125689,23095630,middle aged
125696,22899396,aged
125702,22899396,male
125715,23339824,male
125716,23339824,middle aged
125717,24112488,female
125726,23385045,adult
125730,23385045,male
125739,21660794,adolescent
125741,21660794,child
125743,21660794,female
125771,22784463,infant
125772,22784463,male
125779,23077950,female
125782,23077950,middle aged
125802,23325061,adolescent
125803,23325061,adult
125804,23325061,aged
125808,23325061,female
125814,23325061,male
125815,23325061,middle aged
125824,23325061,young adult
125825,22632364,adult
125827,22632364,aged
125828,22632364,child
125829,22632364,female
125836,22632364,male
125842,22325789,adult
125844,22325789,aged
125847,22325789,female
125854,22325789,male
125855,22325789,middle aged
125874,21807571,female
125880,21807571,middle aged
125884,22435912,adult
125888,22435912,female
125893,22435912,male
125910,23760753,adolescent
125911,23760753,adult
125913,23760753,female
125919,23760753,middle aged
125922,23760753,young adult
125928,23264145,adult
125934,23264145,female
125939,23264145,male
125940,23264145,middle aged
125945,22803312,adolescent
125946,22803312,adult
125948,22803312,female
125953,22803312,male
125954,22803312,middle aged
125958,22803312,young adult
125962,22302698,male
125963,22302698,middle aged
125967,23575795,aged
125969,23575795,female
125980,23661354,adolescent
125987,23661354,male
125996,23457313,child
125999,23457313,female
126014,23422768,adolescent
126015,23422768,adult
126016,23422768,aged
126018,23422768,female
126024,23422768,male
126025,23422768,middle aged
126028,23422768,young adult
126036,22302284,adult
126038,22302284,female
126043,22302284,male
126044,22302284,middle aged
126049,23272626,adult
126051,23272626,female
126054,23272626,male
126055,23272626,middle aged
126061,23052798,adult
126062,23052798,aged
126063,23052798,"aged, 80 and over"
126064,23052798,female
126067,23052798,male
126068,23052798,middle aged
126074,23052798,young adult
126080,24043977,"aged, 80 and over"
126085,24043977,male
126088,23172496,aged
126095,23172496,male
126099,22434287,adult
126104,22434287,female
126110,22434287,male
126111,22434287,middle aged
126117,22434287,young adult
126118,24616986,adolescent
126119,24616986,adult
126120,24616986,aged
126122,24616986,female
126126,24616986,male
126127,24616986,middle aged
126130,24616986,young adult
126131,21785850,adolescent
126134,21785850,female
126140,23534272,child
126141,23534272,"child, preschool"
126164,22666738,female
126168,22666738,middle aged
126173,23820368,adult
126178,23820368,male
126185,23820368,young adult
126186,23352847,female
126189,23352847,male
126190,23352847,middle aged
126194,23681266,adolescent
126195,23681266,adult
126196,23681266,child
126213,23823017,male
126214,23823017,middle aged
126236,24196214,female
126244,24196214,male
126247,22303881,aged
126252,22303881,female
126257,22303881,male
126258,22303881,middle aged
126264,24229430,aged
126266,24229430,female
126276,22328107,"aged, 80 and over"
126282,22328107,female
126285,22328107,middle aged
126290,23130562,female
126293,23130562,male
126306,23927856,adult
126307,23927856,aged
126308,23927856,female
126311,23927856,male
126312,23927856,middle aged
126320,23927856,young adult
126321,22472381,adult
126323,22472381,female
126341,24490314,female
126345,24490314,male
126365,22171622,adolescent
126366,22171622,child
126367,22171622,"child, preschool"
126368,22171622,female
126371,22171622,male
126378,22171622,young adult
126379,24079157,adult
126383,24079157,female
126391,24079157,young adult
126394,23373220,female
126398,23373220,male
126404,22693739,adolescent
126405,22693739,child
126407,22693739,female
126412,22693739,male
126414,23750835,female
126421,23750835,middle aged
126428,23241572,adolescent
126429,23241572,adult
126430,23241572,aged
126433,23241572,child
126436,23241572,female
126439,23241572,male
126441,23241572,middle aged
126449,23241572,young adult
126450,23879004,adult
126451,23879004,aged
126452,23879004,"aged, 80 and over"
126453,23879004,female
126457,23879004,male
126458,23879004,middle aged
126463,23879004,young adult
126466,23103745,female
126475,23103745,male
126480,23896257,adult
126481,23896257,female
126485,23896257,male
126486,23896257,middle aged
126490,22751750,adult
126494,22751750,female
126500,22751750,male
126501,22751750,middle aged
126515,24438104,female
126518,24438104,male
126519,24438104,middle aged
126546,24238061,adult
126548,24238061,female
126554,24238061,young adult
126555,21889231,adult
126556,21889231,female
126579,23544771,adult
126580,23544771,"aged, 80 and over"
126585,23544771,female
126591,23544771,male
126592,23544771,middle aged
126595,23787511,adolescent
126596,23787511,adult
126597,23787511,aged
126599,23787511,child
126601,23787511,female
126605,23787511,male
126607,23787511,middle aged
126622,22592054,female
126627,22592054,middle aged
126635,24065067,child
126638,24065067,female
126643,24065067,male
126650,23890962,adolescent
126651,23890962,adult
126652,23890962,female
126655,23890962,male
126661,23890962,young adult
126662,23580027,adult
126664,23580027,female
126669,23580027,middle aged
126686,22559902,female
126691,22559902,middle aged
126693,24464009,adult
126694,24464009,aged
126699,24464009,female
126718,22827602,female
126721,22827602,male
126722,22827602,middle aged
126728,23995003,adult
126729,23995003,female
126734,23334146,female
126737,23334146,middle aged
126742,23410560,adult
126745,23410560,female
126749,22018025,aged
126750,22018025,"aged, 80 and over"
126755,22018025,female
126759,22018025,middle aged
126768,22100533,female
126772,22100533,male
126779,22044565,adolescent
126780,22044565,adult
126784,22044565,female
126789,22044565,male
126790,22044565,middle aged
126794,22044565,young adult
126795,23993801,adult
126798,23993801,female
126807,23329570,female
126812,23329570,male
126816,22960778,adult
126820,22960778,female
126823,22960778,male
126825,22960778,middle aged
126831,22960778,young adult
126836,22419189,aged
126838,22419189,female
126842,22419189,male
126843,22419189,middle aged
126853,24709784,adult
126856,24709784,female
126859,24709784,male
126860,24709784,middle aged
126865,23280318,adult
126868,23280318,female
126878,23280318,male
126885,23600902,female
126902,23145395,adult
126905,23145395,female
126913,24326832,adult
126914,24326832,aged
126921,24326832,male
126922,24326832,middle aged
126929,23934676,adult
126930,23934676,aged
126931,23934676,"aged, 80 and over"
126932,23934676,female
126939,23934676,male
126940,23934676,middle aged
126943,23934676,young adult
126944,23572084,adult
126945,23572084,aged
126950,23572084,female
126962,23572084,male
126965,23572084,middle aged
126971,22768719,adult
126973,22768719,female
126978,22300231,female
126987,23288662,adult
126988,23288662,aged
126989,23288662,"aged, 80 and over"
126992,23288662,female
126998,23288662,male
126999,23288662,middle aged
127007,22450542,"child, preschool"
127022,22450542,male
127031,23666960,adult
127036,23666960,female
127043,23666960,male
127044,23666960,middle aged
127049,23724128,adolescent
127052,23724128,child
127055,23724128,female
127064,23724128,male
127072,24052581,aged
127074,24052581,female
127082,24211307,female
127086,24211307,middle aged
127091,23625193,adult
127092,23625193,aged
127094,23625193,female
127098,23625193,middle aged
127104,24314405,adult
127105,24314405,aged
127106,24314405,"aged, 80 and over"
127109,24314405,female
127112,24314405,male
127113,24314405,middle aged
127117,24096846,child
127119,24096846,female
127124,24096846,male
127133,23337610,female
127138,23337610,young adult
127139,22535972,"child, preschool"
127142,22535972,female
127149,22535972,male
127153,22535972,young adult
127157,22469512,female
127163,22469512,middle aged
127168,21030157,adolescent
127170,21030157,adult
127171,21030157,aged
127172,21030157,"aged, 80 and over"
127176,21030157,female
127180,21030157,male
127181,21030157,middle aged
127188,21030157,young adult
127191,24328999,adolescent
127194,24328999,child
127195,24328999,female
127200,24328999,male
127210,23086027,adolescent
127211,23086027,adult
127212,23086027,aged
127213,23086027,"aged, 80 and over"
127214,23086027,child
127218,23086027,female
127223,23086027,male
127224,23086027,middle aged
127229,23086027,young adult
127230,23472311,aged
127231,23472311,female
127235,23472311,male
127241,24065229,adult
127244,24065229,female
127248,24065229,middle aged
127260,23838540,female
127266,23838540,male
127279,23712197,female
127286,23712197,male
127296,22371400,female
127300,22371400,male
127302,22371400,middle aged
127307,24248181,adolescent
127308,24248181,adult
127309,24248181,aged
127311,24248181,child
127312,24248181,female
127317,24248181,male
127318,24248181,middle aged
127326,23034782,adolescent
127327,23034782,adult
127328,23034782,aged
127329,23034782,"aged, 80 and over"
127330,23034782,child
127332,23034782,female
127337,23034782,male
127338,23034782,middle aged
127343,24211158,adult
127348,24211158,female
127352,24211158,male
127358,24196560,female
127361,24196560,male
127366,22620050,aged
127367,22620050,female
127372,23572405,adult
127373,23572405,aged
127376,23572405,female
127383,23572405,male
127384,23572405,middle aged
127385,23685895,adult
127388,23685895,female
127393,23685895,male
127394,23685895,middle aged
127408,22226338,female
127414,22226338,male
127415,22226338,middle aged
127422,23212308,adolescent
127423,23212308,adult
127424,23212308,aged
127428,23212308,female
127431,23212308,male
127432,23212308,middle aged
127437,23212308,young adult
127438,23255682,child
127440,23255682,female
127445,23255682,male
127446,23002999,adult
127447,23002999,female
127453,23002999,"infant, newborn"
127454,23002999,male
127459,23002999,young adult
127460,23073921,adult
127461,23073921,aged
127467,23073921,female
127472,23073921,male
127473,23073921,middle aged
127491,22430098,female
127494,22430098,male
127502,23568688,male
127504,23568688,middle aged
127511,22302518,female
127514,22302518,male
127515,22302518,middle aged
127523,23591441,child
127528,23591441,female
127532,23591441,male
127538,23774131,female
127544,24340959,adolescent
127547,24340959,female
127550,24340959,male
127555,23649532,female
127560,23649532,male
127564,24285452,adult
127565,24285452,aged
127566,24285452,female
127570,24285452,male
127571,24285452,middle aged
127583,22207295,adolescent
127584,22207295,adult
127585,22207295,aged
127588,22207295,female
127595,22207295,male
127596,22207295,middle aged
127603,22207295,young adult
127612,23013763,adult
127620,23013763,middle aged
127624,21435651,adult
127625,21435651,aged
127626,21435651,"aged, 80 and over"
127627,21435651,female
127632,21435651,male
127633,21435651,middle aged
127640,23027909,female
127646,23027909,middle aged
127654,22449686,child
127655,22449686,female
127658,22449686,male
127665,22449686,young adult
127667,22310259,female
127673,22310259,young adult
127674,24429823,child
127675,24429823,"child, preschool"
127678,24429823,female
127682,24429823,"infant, newborn"
127683,24429823,male
127688,23846785,adult
127690,23846785,female
127695,23846785,male
127696,23846785,middle aged
127702,22108924,aged
127703,22108924,female
127713,21866332,adolescent
127714,21866332,adult
127718,21866332,female
127727,21866332,young adult
127728,23445791,"aged, 80 and over"
127729,23445791,female
127736,22136213,adult
127738,22136213,female
127743,22136213,male
127744,22136213,middle aged
127747,23564217,adolescent
127748,23564217,adult
127749,23564217,aged
127750,23564217,"aged, 80 and over"
127756,23564217,female
127762,23564217,male
127763,23564217,middle aged
127768,23564217,young adult
127769,22282244,adult
127771,22282244,aged
127772,22282244,"aged, 80 and over"
127776,22282244,female
127779,22282244,male
127780,22282244,middle aged
127787,22282244,young adult
127788,23793427,adolescent
127789,23793427,adult
127790,23793427,aged
127791,23793427,"aged, 80 and over"
127793,23793427,female
127798,23793427,male
127799,23793427,middle aged
127812,23650151,child
127815,23650151,female
127821,23650151,male
127824,23860000,child
127828,23860000,female
127832,23860000,male
127836,24186589,female
127841,24186589,male
127842,24186589,middle aged
127845,24167913,adolescent
127846,24167913,adult
127848,24167913,child
127850,24167913,female
127855,24167913,male
127863,24167913,young adult
127864,24327568,aged
127865,24327568,"aged, 80 and over"
127869,24327568,female
127876,24327568,male
127878,24327568,middle aged
127886,23579962,adult
127887,23579962,aged
127890,23579962,female
127894,23579962,male
127895,23579962,middle aged
127902,23047567,adult
127903,23047567,female
127908,23047567,male
127909,23047567,middle aged
127916,22053869,adolescent
127917,22053869,adult
127922,22053869,female
127927,22053869,middle aged
127935,22053869,young adult
127936,24043280,female
127939,24043280,infant
127944,23690528,adult
127945,23690528,aged
127946,23690528,"aged, 80 and over"
127948,23690528,female
127954,23690528,male
127955,23690528,middle aged
127960,23873426,aged
127961,23873426,"aged, 80 and over"
127963,23873426,female
127967,23873426,male
127968,23873426,middle aged
127974,23666798,adult
127975,23666798,aged
127978,23666798,female
127983,23666798,male
127984,23666798,middle aged
127988,23666798,young adult
127989,23414115,aged
127992,23414115,female
127997,23414115,male
127999,23414115,middle aged
128002,23317391,adult
128003,23317391,aged
128006,23317391,female
128013,23317391,male
128014,23317391,middle aged
128021,23428758,child
128023,23428758,female
128026,23428758,male
128030,22444735,adult
128035,22444735,female
128044,22444735,male
128052,22444735,young adult
128055,23206325,child
128069,23645248,adult
128070,23645248,aged
128078,23645248,female
128082,23645248,male
128083,23645248,middle aged
128102,24082285,adolescent
128103,24082285,adult
128104,24082285,aged
128105,24082285,"aged, 80 and over"
128106,24082285,female
128112,24082285,male
128113,24082285,middle aged
128118,23820337,child
128121,23820337,female
128127,23820337,male
128131,22507947,adult
128133,22507947,female
128136,22507947,male
128137,22507947,middle aged
128155,23435045,female
128161,23435045,young adult
128162,23679109,child
128164,23679109,female
128169,23679109,male
128171,23304909,female
128177,23304909,male
128181,22543510,adolescent
128182,22543510,child
128183,22543510,"child, preschool"
128184,22543510,female
128187,22543510,infant
128188,22543510,male
128194,22434524,female
128215,23149095,adult
128216,23149095,aged
128217,23149095,female
128223,23149095,male
128224,23149095,middle aged
128232,22976368,adult
128234,22976368,female
128240,22976368,male
128241,22976368,middle aged
128246,22893523,adolescent
128247,22893523,adult
128249,22893523,aged
128250,22893523,"aged, 80 and over"
128251,22893523,female
128257,22893523,male
128258,22893523,middle aged
128264,22893523,young adult
128265,22287186,adolescent
128266,22287186,adult
128267,22287186,aged
128268,22287186,"aged, 80 and over"
128269,22287186,child
128270,22287186,"child, preschool"
128272,22287186,female
128275,22287186,male
128276,22287186,middle aged
128282,22287186,young adult
128285,22484994,adult
128286,22484994,aged
128290,22484994,female
128294,22484994,male
128295,22484994,middle aged
128298,24144816,adult
128299,24144816,aged
128300,24144816,"aged, 80 and over"
128302,24144816,female
128309,24144816,male
128311,24144816,middle aged
128325,23303305,"infant, newborn"
128326,23303305,male
128330,23571818,adolescent
128333,23571818,child
128334,23571818,"child, preschool"
128342,23571818,infant
128349,22752757,adult
128350,22752757,aged
128353,22752757,female
128356,22752757,male
128357,22752757,middle aged
128362,22259066,adult
128363,22259066,aged
128371,22259066,female
128379,22259066,male
128380,22259066,middle aged
128383,22259066,young adult
128384,22378090,aged
128388,22378090,female
128393,22378090,male
128394,22378090,middle aged
128399,23611326,female
128402,23611326,middle aged
128410,23839586,female
128414,23839586,middle aged
128418,22617067,child
128421,22617067,female
128427,23824503,adult
128429,23824503,female
128434,23824503,male
128435,23824503,middle aged
128441,24001735,adult
128444,24001735,female
128449,23397523,adolescent
128450,23397523,adult
128451,23397523,aged
128452,23397523,"aged, 80 and over"
128454,23397523,female
128457,23397523,male
128458,23397523,middle aged
128464,23397523,young adult
128475,22168782,adolescent
128476,22168782,adult
128477,22168782,aged
128478,22168782,"aged, 80 and over"
128481,22168782,female
128487,22168782,male
128488,22168782,middle aged
128497,22168782,young adult
128498,21940277,adolescent
128499,21940277,adult
128500,21940277,aged
128506,21940277,female
128513,21940277,male
128514,21940277,middle aged
128521,21940277,young adult
128524,22490994,female
128530,22490994,male
128534,22520715,adolescent
128539,22520715,male
128542,24081791,adult
128545,24081791,female
128548,24081791,male
128549,24081791,middle aged
128556,23055017,adolescent
128557,23055017,adult
128558,23055017,aged
128562,23055017,child
128564,23055017,female
128569,23055017,male
128570,23055017,middle aged
128574,23055017,young adult
128575,22960961,adolescent
128576,22960961,adult
128577,22960961,aged
128578,22960961,female
128582,22960961,male
128583,22960961,middle aged
128587,22960961,young adult
128589,23229214,female
128595,23229214,male
128598,22234657,adolescent
128599,22234657,adult
128600,22234657,aged
128601,22234657,"aged, 80 and over"
128603,22234657,female
128608,22234657,male
128609,22234657,middle aged
128614,22234657,young adult
128615,21854403,aged
128617,21854403,female
128624,21854403,male
128625,21854403,middle aged
128628,22706735,adult
128634,22706735,female
128644,22706735,male
128646,22706735,middle aged
128652,22614185,adolescent
128653,22614185,adult
128654,22614185,aged
128655,22614185,female
128660,22614185,male
128661,22614185,middle aged
128666,22614185,young adult
128667,23167286,adolescent
128668,23167286,child
128671,23167286,female
128675,23167286,male
128680,22608203,aged
128689,22361675,adult
128690,22361675,aged
128695,22361675,female
128700,22361675,male
128701,22361675,middle aged
128709,24249820,adolescent
128710,24249820,female
128715,22686474,aged
128719,22686474,female
128723,22686474,male
128725,22686474,middle aged
128733,23103151,adolescent
128734,23103151,adult
128735,23103151,aged
128736,23103151,"aged, 80 and over"
128739,23103151,female
128742,23103151,male
128743,23103151,middle aged
128752,23103151,young adult
128753,23512384,adult
128754,23512384,aged
128756,23512384,female
128764,23512384,male
128766,23512384,middle aged
128774,24146411,adolescent
128775,24146411,adult
128776,24146411,aged
128777,24146411,"aged, 80 and over"
128781,24146411,female
128786,24146411,male
128787,24146411,middle aged
128803,22142266,adolescent
128804,22142266,child
128805,22142266,"child, preschool"
128806,22142266,female
128812,22142266,male
128820,23715351,adolescent
128821,23715351,adult
128823,23715351,child
128825,23715351,female
128829,23715351,male
128830,23715351,middle aged
128836,23127548,adult
128840,23127548,female
128858,23768508,child
128862,23768508,female
128866,23768508,male
128873,22454366,adolescent
128875,22454366,female
128886,23755815,adult
128891,23755815,middle aged
128902,23436921,adolescent
128903,23436921,adult
128904,23436921,aged
128905,23436921,"aged, 80 and over"
128906,23436921,child
128907,23436921,"child, preschool"
128908,23436921,female
128915,23436921,infant
128918,23436921,male
128919,23436921,middle aged
128926,23436921,young adult
128927,22228488,adult
128930,22228488,female
128935,22228488,male
128936,22228488,middle aged
128939,22228488,young adult
128940,23164317,"child, preschool"
128944,23164317,male
128947,24295859,female
128955,21889178,adult
128960,21889178,male
128963,22473756,adult
128967,22473756,female
128973,22473756,male
128976,22977269,adult
128980,22977269,female
128984,22977269,male
128985,22977269,middle aged
129012,23405871,aged
129015,23405871,female
129031,23878293,male
129032,23878293,middle aged
129035,23485550,adolescent
129036,23485550,child
129037,23485550,female
129043,23485550,male
129049,23485550,young adult
129050,23795896,adult
129052,23795896,female
129057,23975614,"aged, 80 and over"
129060,23975614,female
129071,22394073,adult
129076,22394073,female
129081,22394073,male
129091,22394073,young adult
129092,23381674,female
129099,23459462,adult
129106,23459462,male
129113,23838927,adult
129114,23838927,female
129118,23838927,male
129119,23838927,middle aged
129135,23203166,male
129136,23203166,middle aged
129140,24068513,adult
129143,24068513,female
129150,23771972,adult
129151,23771972,female
129159,22018292,aged
129164,22018292,female
129188,22429511,adult
129189,22429511,child
129194,22429511,female
129202,22429511,male
129209,22429511,young adult
129210,22409203,child
129214,22409203,female
129220,22409203,male
129223,23551059,adolescent
129224,23551059,adult
129225,23551059,aged
129226,23551059,"aged, 80 and over"
129230,23551059,female
129233,23551059,male
129234,23551059,middle aged
129241,23551059,young adult
129242,24057177,adult
129250,24057177,female
129258,24057177,male
129266,22884721,"child, preschool"
129267,22884721,female
129273,22884721,male
129282,24222113,adult
129287,24222113,female
129294,24222113,male
129302,22425314,adult
129305,22425314,female
129321,23966462,child
129322,23966462,female
129329,24160658,child
129341,24457407,female
129347,24457407,middle aged
129349,23201328,adolescent
129350,23201328,adult
129351,23201328,aged
129352,23201328,female
129356,23201328,male
129357,23201328,middle aged
129363,23201328,young adult
129364,22505274,adolescent
129365,22505274,female
129377,22475452,child
129381,22475452,female
129387,22475452,male
129395,21751218,adolescent
129396,21751218,adult
129397,21751218,aged
129398,21751218,"aged, 80 and over"
129401,21751218,child
129402,21751218,female
129406,21751218,male
129407,21751218,middle aged
129417,21751218,young adult
129418,22987562,adolescent
129419,22987562,adult
129420,22987562,aged
129421,22987562,"aged, 80 and over"
129426,22987562,female
129430,22987562,male
129431,22987562,middle aged
129441,22987562,young adult
129450,22518849,adolescent
129451,22518849,adult
129452,22518849,aged
129453,22518849,child
129455,22518849,female
129461,22518849,male
129462,22518849,middle aged
129469,21706242,"child, preschool"
129477,21706242,male
129481,22739546,adolescent
129484,22739546,child
129485,22739546,"child, preschool"
129489,22739546,female
129495,22739546,infant
129497,22739546,male
129500,22382464,adolescent
129503,22382464,child
129506,22382464,female
129510,22382464,male
129535,23087271,adult
129538,23087271,male
129543,23151031,adult
129549,23151031,female
129558,23151031,male
129565,23151031,young adult
129566,23388425,adult
129567,23388425,aged
129571,23388425,female
129576,23388425,male
129577,23388425,middle aged
129586,22663145,female
129589,22663145,middle aged
129592,23525051,adult
129593,23525051,aged
129596,23525051,female
129601,23525051,male
129602,23525051,middle aged
129612,22508673,adult
129613,22508673,aged
129614,22508673,"aged, 80 and over"
129620,22508673,female
129626,22508673,male
129627,22508673,middle aged
129632,22508673,young adult
129635,22669022,female
129639,22669022,middle aged
129643,21822925,adult
129646,21822925,child
129649,21822925,female
129655,21822925,male
129677,22947351,adolescent
129678,22947351,adult
129681,22947351,child
129683,22947351,female
129688,22947351,male
129693,22422173,adult
129696,22422173,female
129700,22422173,male
129701,22422173,middle aged
129729,23408569,adult
129734,23408569,female
129740,23408569,male
129741,23408569,middle aged
129745,23076684,adult
129752,23076684,female
129755,23076684,male
129756,23076684,middle aged
129771,22169963,adult
129779,22169963,female
129786,22169963,male
129794,23619962,aged
129795,23619962,"aged, 80 and over"
129799,23619962,female
129805,23619962,male
129806,23619962,middle aged
129812,22246921,adult
129813,22246921,aged
129814,22246921,female
129819,22246921,male
129820,22246921,middle aged
129830,23789305,female
129837,22466533,female
129840,22466533,male
129843,24204772,aged
129845,24204772,female
129850,24204772,middle aged
129862,22561771,adolescent
129863,22561771,adult
129865,22561771,child
129866,22561771,female
129869,22561771,male
129870,22561771,middle aged
129873,22561771,young adult
129874,23512414,adult
129879,23512414,female
129883,23512414,"infant, newborn"
129886,23512414,male
129888,22420618,adolescent
129889,22420618,adult
129890,22420618,aged
129892,22420618,child
129895,22420618,female
129898,22420618,male
129899,22420618,middle aged
129905,23721189,adult
129906,23721189,aged
129912,23721189,female
129919,23721189,male
129921,23721189,middle aged
129928,23395200,female
129934,23395200,male
129935,23395200,middle aged
129945,23290802,child
129948,23290802,female
129953,23290802,male
129958,23250509,female
129962,23250509,middle aged
129968,24376294,adult
129969,24376294,aged
129970,24376294,"aged, 80 and over"
129971,24376294,female
129976,24376294,male
129977,24376294,middle aged
129982,24203649,adult
129986,24203649,female
129991,24203649,male
129992,24203649,middle aged
129997,24203649,young adult
129998,22314228,child
130003,22314228,female
130007,22314228,male
130019,23336663,adult
130021,23336663,female
130026,23336663,male
130027,23336663,middle aged
130033,22763296,adolescent
130034,22763296,adult
130035,22763296,aged
130036,22763296,"aged, 80 and over"
130038,22763296,female
130042,22763296,male
130043,22763296,middle aged
130048,22763296,young adult
130051,23320593,female
130058,23320593,"infant, newborn"
130059,23320593,male
130064,23356147,adult
130065,23356147,aged
130066,23356147,female
130069,23356147,middle aged
130080,23285769,adult
130081,23285769,female
130099,24346408,female
130103,24346408,male
130106,22816208,adult
130107,22816208,child
130109,22816208,female
130114,22816208,male
130119,23029740,adolescent
130120,23029740,adult
130121,23029740,aged
130122,23029740,"aged, 80 and over"
130124,23029740,female
130131,23029740,male
130132,23029740,middle aged
130138,23029740,young adult
130140,23473435,female
130143,23473435,male
130144,23473435,middle aged
130149,22951152,child
130152,22951152,female
130157,22951152,male
130169,23095563,female
130172,23095563,male
130177,23801504,adult
130181,23801504,female
130184,23801504,male
130185,23801504,middle aged
130193,24025611,adult
130197,24025611,female
130216,22538748,child
130217,22538748,female
130221,22538748,male
130228,23786024,adult
130229,23786024,female
130236,23786024,male
130245,24044183,aged
130246,24044183,"aged, 80 and over"
130249,24044183,female
130256,24044183,male
130267,22472383,female
130270,22472383,middle aged
130275,23297512,adolescent
130276,23297512,child
130277,23297512,"child, preschool"
130278,23297512,female
130282,23297512,male
130285,23388537,adult
130289,23388537,female
130294,23388537,middle aged
130300,24040657,female
130312,24281434,female
130315,24281434,male
130319,22763653,aged
130321,22763653,female
130347,23156864,female
130351,23156864,middle aged
130355,22796699,female
130359,22796699,male
130361,23089414,aged
130362,23089414,female
130375,23076189,adult
130377,23076189,female
130381,23076189,male
130382,23076189,middle aged
130385,23613294,adolescent
130386,23613294,adult
130387,23613294,aged
130389,23613294,child
130391,23613294,female
130396,23613294,male
130397,23613294,middle aged
130403,23613294,young adult
130415,21920644,"aged, 80 and over"
130417,21920644,female
130429,24044395,aged
130433,24044395,female
130442,22538756,adolescent
130443,22538756,adult
130444,22538756,aged
130445,22538756,"aged, 80 and over"
130446,22538756,child
130447,22538756,"child, preschool"
130449,22538756,female
130454,22538756,infant
130455,22538756,"infant, newborn"
130457,22538756,male
130458,22538756,middle aged
130464,22538756,young adult
130465,22413111,adolescent
130466,22413111,adult
130468,22413111,female
130473,22413111,male
130474,22413111,middle aged
130482,22666737,adolescent
130484,22666737,child
130496,23364912,adult
130497,23364912,aged
130502,23364912,female
130505,23364912,male
130506,23364912,middle aged
130512,22760408,adult
130514,22760408,female
130519,22760408,male
130520,22760408,middle aged
130523,24466600,child
130538,22351646,aged
130543,22351646,male
130554,23240321,adult
130556,23240321,female
130564,22778020,adult
130566,22778020,female
130569,22778020,male
130570,22778020,middle aged
130575,23938096,female
130578,23938096,middle aged
130589,22935174,adult
130590,22935174,aged
130593,22935174,female
130596,22935174,male
130597,22935174,middle aged
130603,22935174,young adult
130604,22548952,adolescent
130607,22548952,female
130616,29144118,adult
130619,29144118,female
130627,22184631,aged
130630,22184631,female
130638,22496035,adult
130642,22496035,male
130644,23494085,female
130656,24592769,female
130661,24592769,male
130672,22334630,aged
