,PMID,Condition,Category
1276,15080051,thyroid nodule,thyroid nodule
1276,15080051,thyroiditis,thyroiditis
1277,12213664,goiter,goiter
1277,12213664,thyroid nodule,thyroid nodule
1278,14524188,goiter,goiter
1278,14524188,thyroid disease,thyroid disease
1278,14524188,thyroid diseases,thyroid disease
1278,14524188,thyroid gland,thyroid disease
1279,12417064,goiter,goiter
1279,12417064,thyroid neoplasms,thyroid neoplasms
1279,12417064,thyroidectomy,thyroid disease
1280,15518151,goiter,goiter
1280,15518151,thyroid neoplasms,thyroid neoplasms
1280,15518151,thyroid disease,thyroid disease
1280,15518151,thyroid diseases,thyroid disease
1280,15518151,thyroid gland,thyroid disease
1281,12112538,goiter,goiter
1281,12112538,thyroid neoplasms,thyroid neoplasms
1281,12112538,thyroid nodule,thyroid nodule
1281,12112538,thyroid gland,thyroid disease
1281,12112538,thyroidectomy,thyroid disease
1282,14997835,goiter,goiter
1282,14997835,thyroid nodule,thyroid nodule
1283,12727986,goiter,goiter
1283,12727986,graves' disease,hyperthyroidism
1283,12727986,thyroiditis,thyroiditis
1283,12727986,thyroid disease,thyroid disease
1283,12727986,thyroid diseases,thyroid disease
1284,12865873,goiter,goiter
1284,12865873,thyroid nodule,thyroid nodule
1284,12865873,thyroidectomy,thyroid disease
1285,15179756,goiter,goiter
1285,15179756,thyroid neoplasms,thyroid neoplasms
1286,14586408,goiter,goiter
1286,14586408,thyroid neoplasms,thyroid neoplasms
1286,14586408,thyroid gland,thyroid disease
1287,12420956,goiter,goiter
1287,12420956,thyroid neoplasms,thyroid neoplasms
1287,12420956,thyroid nodule,thyroid nodule
1288,12974744,goiter,goiter
1288,12974744,hypothyroidism,hypothyroidism
1289,11974535,goiter,goiter
1290,12629132,goiter,goiter
1290,12629132,thyroid neoplasms,thyroid neoplasms
1291,12152249,goiter,goiter
1291,12152249,thyroid neoplasms,thyroid neoplasms
1291,12152249,thyroid gland,thyroid disease
1293,11937998,thyroid neoplasms,thyroid neoplasms
1293,11937998,thyroidectomy,thyroid disease
1294,14692133,goiter,goiter
1294,14692133,hyperthyroidism,hyperthyroidism
1294,14692133,thyrotoxicosis,hyperthyroidism
1295,12199345,goiter,goiter
1296,12793600,goiter,goiter
1296,12793600,hypothyroidism,hypothyroidism
1297,12971577,goiter,goiter
1298,12433731,goiter,goiter
1298,12433731,thyroid neoplasms,thyroid neoplasms
1299,12498990,goiter,goiter
1300,12828721,thyroiditis,thyroiditis
1300,12828721,thyroid disease,thyroid disease
1300,12828721,thyroid diseases,thyroid disease
1300,12828721,thyroid gland,thyroid disease
1301,11935320,congenital hypothyroidism,hypothyroidism
1301,11935320,hypothyroidism,hypothyroidism
1302,12845555,thyrotoxicosis,hyperthyroidism
1302,12845555,thyroid neoplasms,thyroid neoplasms
1302,12845555,thyroid disease,thyroid disease
1302,12845555,thyroid diseases,thyroid disease
1303,12354139,thyroid neoplasms,thyroid neoplasms
1304,12564092,thyroid gland,thyroid disease
1304,12564092,thyroidectomy,thyroid disease
1305,12475368,hyperthyroidism,hyperthyroidism
1305,12475368,graves' disease,hyperthyroidism
1305,12475368,hypothyroidism,hypothyroidism
1305,12475368,thyroid nodule,thyroid nodule
1305,12475368,thyroid gland,thyroid disease
1307,14506636,goiter,goiter
1307,14506636,graves' disease,hyperthyroidism
