index,nct_id,category_age
594,NCT04704414,[65 and more]
599,NCT04708626,[0-17]
599,NCT04708626,[18-65]
599,NCT04708626,[65 and more]
604,NCT04714918,[0-17]
604,NCT04714918,[18-65]
604,NCT04714918,[65 and more]
606,NCT04730726,[18-65]
606,NCT04730726,[65 and more]
612,NCT04737330,[18-65]
612,NCT04737330,[65 and more]
630,NCT04776993,[18-65]
630,NCT04776993,[65 and more]
639,NCT04782856,[18-65]
639,NCT04782856,[65 and more]
642,NCT04785443,[18-65]
642,NCT04785443,[65 and more]
652,NCT04806672,[18-65]
653,NCT04809454,[18-65]
657,NCT04823728,[18-65]
657,NCT04823728,[65 and more]
659,NCT04842994,[0-17]
659,NCT04842994,[18-65]
659,NCT04842994,[65 and more]
663,NCT04846010,[0-17]
663,NCT04846010,[18-65]
663,NCT04846010,[65 and more]
666,NCT04856488,[18-65]
666,NCT04856488,[65 and more]
677,NCT04876534,[18-65]
677,NCT04876534,[65 and more]
680,NCT04877613,[18-65]
680,NCT04877613,[65 and more]
683,NCT04879173,[0-17]
683,NCT04879173,[18-65]
683,NCT04879173,[65 and more]
685,NCT04879355,[18-65]
685,NCT04879355,[65 and more]
687,NCT04883294,[18-65]
687,NCT04883294,[65 and more]
689,NCT04895631,[0-17]
689,NCT04895631,[18-65]
689,NCT04895631,[65 and more]
693,NCT04916262,[18-65]
693,NCT04916262,[65 and more]
694,NCT04919694,[18-65]
694,NCT04919694,[65 and more]
702,NCT04922892,[18-65]
702,NCT04922892,[65 and more]
703,NCT04927416,[18-65]
703,NCT04927416,[65 and more]
705,NCT04927468,[18-65]
705,NCT04927468,[65 and more]
711,NCT04932135,[18-65]
711,NCT04932135,[65 and more]
712,NCT04936854,[18-65]
712,NCT04936854,[65 and more]
719,NCT04942769,[18-65]
719,NCT04942769,[65 and more]
730,NCT04953195,[18-65]
730,NCT04953195,[65 and more]
732,NCT04969926,[0-17]
732,NCT04969926,[18-65]
732,NCT04969926,[65 and more]
741,NCT04976816,[18-65]
741,NCT04976816,[65 and more]
744,NCT04988802,[18-65]
744,NCT04988802,[65 and more]
749,NCT05002998,[18-65]
749,NCT05002998,[65 and more]
755,NCT05007093,[18-65]
755,NCT05007093,[65 and more]
757,NCT05012033,[18-65]
757,NCT05012033,[65 and more]
762,NCT05015127,[18-65]
762,NCT05015127,[65 and more]
768,NCT05017142,[0-17]
768,NCT05017142,[18-65]
768,NCT05017142,[65 and more]
769,NCT05019118,[18-65]
769,NCT05019118,[65 and more]
781,NCT05043233,[18-65]
781,NCT05043233,[65 and more]
786,NCT05049603,[18-65]
786,NCT05049603,[65 and more]
790,NCT05059470,[18-65]
790,NCT05059470,[65 and more]
791,NCT05068687,[18-65]
791,NCT05068687,[65 and more]
797,NCT05096195,[18-65]
797,NCT05096195,[65 and more]
799,NCT05098600,[0-17]
799,NCT05098600,[18-65]
799,NCT05098600,[65 and more]
805,NCT05108298,[18-65]
806,NCT05110040,[18-65]
806,NCT05110040,[65 and more]
810,NCT05112211,[18-65]
810,NCT05112211,[65 and more]
817,NCT05117853,[18-65]
817,NCT05117853,[65 and more]
819,NCT05119296,[18-65]
819,NCT05119296,[65 and more]
822,NCT05126147,[18-65]
822,NCT05126147,[65 and more]
825,NCT05126706,[18-65]
825,NCT05126706,[65 and more]
827,NCT05130476,[18-65]
827,NCT05130476,[65 and more]
832,NCT05142904,[18-65]
832,NCT05142904,[65 and more]
837,NCT05149898,[0-17]
845,NCT05176639,[18-65]
845,NCT05176639,[65 and more]
850,NCT05177939,[0-17]
850,NCT05177939,[18-65]
850,NCT05177939,[65 and more]
853,NCT05186883,[18-65]
853,NCT05186883,[65 and more]
854,NCT05189314,[18-65]
854,NCT05189314,[65 and more]
856,NCT05189808,[18-65]
856,NCT05189808,[65 and more]
858,NCT05189821,[18-65]
858,NCT05189821,[65 and more]
862,NCT05199103,[18-65]
862,NCT05199103,[65 and more]
867,NCT05214274,[18-65]
867,NCT05214274,[65 and more]
869,NCT05216718,[18-65]
869,NCT05216718,[65 and more]
876,NCT05225883,[0-17]
876,NCT05225883,[18-65]
876,NCT05225883,[65 and more]
879,NCT05229341,[18-65]
879,NCT05229341,[65 and more]
882,NCT05239221,[18-65]
882,NCT05239221,[65 and more]
888,NCT05242055,[18-65]
888,NCT05242055,[65 and more]
901,NCT05264857,[18-65]
901,NCT05264857,[65 and more]
907,NCT05276063,[18-65]
907,NCT05276063,[65 and more]
910,NCT05276856,[18-65]
910,NCT05276856,[65 and more]
912,NCT05280379,[18-65]
912,NCT05280379,[65 and more]
915,NCT05280600,[0-17]
915,NCT05280600,[18-65]
916,NCT05286801,[0-17]
916,NCT05286801,[18-65]
916,NCT05286801,[65 and more]
918,NCT05290493,[0-17]
919,NCT05299437,[18-65]
919,NCT05299437,[65 and more]
920,NCT05299632,[18-65]
920,NCT05299632,[65 and more]
923,NCT02378233,[18-65]
924,NCT02742597,[18-65]
924,NCT02742597,[65 and more]
925,NCT02789800,[18-65]
925,NCT02789800,[65 and more]
927,NCT02966405,[18-65]
928,NCT03149354,[18-65]
928,NCT03149354,[65 and more]
932,NCT03922087,[18-65]
933,NCT03932487,[18-65]
934,NCT04019509,[18-65]
936,NCT04208503,[0-17]
938,NCT04323007,[18-65]
938,NCT04323007,[65 and more]
940,NCT04388956,[0-17]
940,NCT04388956,[18-65]
940,NCT04388956,[65 and more]
944,NCT04571736,[18-65]
944,NCT04571736,[65 and more]
945,NCT04585126,[18-65]
945,NCT04585126,[65 and more]
946,NCT04615988,[18-65]
946,NCT04615988,[65 and more]
947,NCT04658524,[18-65]
947,NCT04658524,[65 and more]
948,NCT04684953,[0-17]
948,NCT04684953,[18-65]
949,NCT04708704,[18-65]
949,NCT04708704,[65 and more]
952,NCT04845867,[18-65]
952,NCT04845867,[65 and more]
953,NCT04936698,[18-65]
955,NCT04991493,[18-65]
956,NCT05016518,[18-65]
956,NCT05016518,[65 and more]
958,NCT05103774,[0-17]
959,NCT05126108,[18-65]
959,NCT05126108,[65 and more]
960,NCT05151120,[18-65]
960,NCT05151120,[65 and more]
961,NCT05251194,[18-65]
961,NCT05251194,[65 and more]
966,NCT00001160,[0-17]
966,NCT00001160,[18-65]
966,NCT00001160,[65 and more]
969,NCT00001242,[0-17]
969,NCT00001242,[18-65]
969,NCT00001242,[65 and more]
970,NCT00169806,[18-65]
970,NCT00169806,[65 and more]
971,NCT00342446,[18-65]
971,NCT00342446,[65 and more]
973,NCT00410761,[18-65]
973,NCT00410761,[65 and more]
974,NCT00537095,[18-65]
974,NCT00537095,[65 and more]
976,NCT00591032,[0-17]
976,NCT00591032,[18-65]
976,NCT00591032,[65 and more]
977,NCT00673010,[18-65]
977,NCT00673010,[65 and more]
980,NCT01074684,[18-65]
980,NCT01074684,[65 and more]
981,NCT01087619,[65 and more]
982,NCT01141309,[18-65]
982,NCT01141309,[65 and more]
983,NCT01145040,[0-17]
983,NCT01145040,[18-65]
983,NCT01145040,[65 and more]
985,NCT01236547,[18-65]
985,NCT01236547,[65 and more]
986,NCT01263951,[18-65]
986,NCT01263951,[65 and more]
987,NCT01298323,[18-65]
987,NCT01298323,[65 and more]
988,NCT01398085,[0-17]
988,NCT01398085,[18-65]
988,NCT01398085,[65 and more]
989,NCT01412762,[18-65]
989,NCT01412762,[65 and more]
990,NCT01496313,[18-65]
990,NCT01496313,[65 and more]
991,NCT01552434,[0-17]
991,NCT01552434,[18-65]
991,NCT01552434,[65 and more]
992,NCT01660984,[0-17]
992,NCT01660984,[18-65]
992,NCT01660984,[65 and more]
993,NCT01709292,[18-65]
993,NCT01709292,[65 and more]
994,NCT01723202,[18-65]
994,NCT01723202,[65 and more]
998,NCT01774279,[18-65]
998,NCT01774279,[65 and more]
999,NCT01831869,[18-65]
1001,NCT01848171,[18-65]
1001,NCT01848171,[65 and more]
1003,NCT01876784,[18-65]
1003,NCT01876784,[65 and more]
1004,NCT01896479,[18-65]
1004,NCT01896479,[65 and more]
1005,NCT01922440,[0-17]
1005,NCT01922440,[18-65]
1005,NCT01922440,[65 and more]
1006,NCT01947023,[18-65]
1006,NCT01947023,[65 and more]
1007,NCT02012699,[18-65]
1007,NCT02012699,[65 and more]
1008,NCT02013479,[18-65]
1008,NCT02013479,[65 and more]
1009,NCT02088645,[18-65]
1009,NCT02088645,[65 and more]
1010,NCT02145143,[18-65]
1010,NCT02145143,[65 and more]
1011,NCT02152137,[18-65]
1011,NCT02152137,[65 and more]
1015,NCT02156362,[18-65]
1015,NCT02156362,[65 and more]
1016,NCT02185560,[0-17]
1016,NCT02185560,[18-65]
1016,NCT02185560,[65 and more]
1021,NCT02208544,[18-65]
1021,NCT02208544,[65 and more]
1025,NCT02244463,[18-65]
1025,NCT02244463,[65 and more]
1028,NCT02465060,[18-65]
1028,NCT02465060,[65 and more]
1029,NCT02567877,[18-65]
1029,NCT02567877,[65 and more]
1030,NCT02568267,[18-65]
1030,NCT02568267,[65 and more]
1031,NCT02592356,[18-65]
1031,NCT02592356,[65 and more]
1033,NCT02628067,[18-65]
1033,NCT02628067,[65 and more]
1034,NCT02657551,[18-65]
1034,NCT02657551,[65 and more]
1035,NCT02713269,[18-65]
1035,NCT02713269,[65 and more]
1036,NCT02747888,[0-17]
1036,NCT02747888,[18-65]
1036,NCT02747888,[65 and more]
1037,NCT02834013,[18-65]
1037,NCT02834013,[65 and more]
1038,NCT02838927,[0-17]
1038,NCT02838927,[18-65]
1038,NCT02838927,[65 and more]
1039,NCT02867592,[0-17]
1039,NCT02867592,[18-65]
1040,NCT02869620,[18-65]
1040,NCT02869620,[65 and more]
1041,NCT02886949,[18-65]
1041,NCT02886949,[65 and more]
1042,NCT02938702,[18-65]
1042,NCT02938702,[65 and more]
1043,NCT02947035,[18-65]
1043,NCT02947035,[65 and more]
1050,NCT03029429,[0-17]
1050,NCT03029429,[18-65]
1050,NCT03029429,[65 and more]
1051,NCT03037385,[18-65]
1051,NCT03037385,[65 and more]
1054,NCT03048877,[18-65]
1054,NCT03048877,[65 and more]
1055,NCT03053115,[18-65]
1055,NCT03053115,[65 and more]
1056,NCT03053999,[0-17]
1056,NCT03053999,[18-65]
1056,NCT03053999,[65 and more]
1057,NCT03064542,[18-65]
1058,NCT03085056,[18-65]
1058,NCT03085056,[65 and more]
1059,NCT03099356,[18-65]
1059,NCT03099356,[65 and more]
1062,NCT03157128,[0-17]
1062,NCT03157128,[18-65]
1062,NCT03157128,[65 and more]
1063,NCT03160274,[0-17]
1063,NCT03160274,[18-65]
1063,NCT03160274,[65 and more]
1064,NCT03170960,[18-65]
1064,NCT03170960,[65 and more]
1065,NCT03181100,[18-65]
1065,NCT03181100,[65 and more]
1068,NCT03196518,[18-65]
1068,NCT03196518,[65 and more]
1069,NCT03215095,[18-65]
1069,NCT03215095,[65 and more]
1070,NCT03246958,[18-65]
1070,NCT03246958,[65 and more]
1071,NCT03285230,[18-65]
1071,NCT03285230,[65 and more]
1073,NCT03324880,[18-65]
1073,NCT03324880,[65 and more]
1074,NCT03324893,[18-65]
1074,NCT03324893,[65 and more]
1075,NCT03360890,[18-65]
1075,NCT03360890,[65 and more]
1076,NCT03377829,[18-65]
1076,NCT03377829,[65 and more]
1078,NCT03432299,[18-65]
1079,NCT03449108,[0-17]
1079,NCT03449108,[18-65]
1079,NCT03449108,[65 and more]
1082,NCT03469011,[18-65]
1082,NCT03469011,[65 and more]
1083,NCT03475953,[18-65]
1083,NCT03475953,[65 and more]
1084,NCT03483337,[18-65]
1084,NCT03483337,[65 and more]
1085,NCT03484884,[18-65]
1085,NCT03484884,[65 and more]
1086,NCT03488134,[18-65]
1086,NCT03488134,[65 and more]
1089,NCT03570021,[18-65]
1089,NCT03570021,[65 and more]
1090,NCT03573960,[18-65]
1090,NCT03573960,[65 and more]
1091,NCT03624751,[18-65]
1091,NCT03624751,[65 and more]
1092,NCT03631771,[0-17]
1093,NCT03633708,[0-17]
1093,NCT03633708,[18-65]
1094,NCT03639662,[18-65]
1094,NCT03639662,[65 and more]
1095,NCT03643055,[18-65]
1095,NCT03643055,[65 and more]
1096,NCT03647358,[18-65]
1096,NCT03647358,[65 and more]
1097,NCT03657654,[18-65]
1097,NCT03657654,[65 and more]
1099,NCT03676348,[18-65]
1099,NCT03676348,[65 and more]
1102,NCT03690388,[0-17]
1102,NCT03690388,[18-65]
1102,NCT03690388,[65 and more]
1104,NCT03713671,[18-65]
