index,nct_id,location,continent,iso
949,NCT04708704,United States,North America,USA
953,NCT04936698,Taiwan,East Asia,TWN
955,NCT04991493,China,East Asia,CHN
956,NCT05016518,"Korea, Republic of",East Asia,KOR
958,NCT05103774,Egypt,Africa,EGY
959,NCT05126108,France,Europe,FRA
960,NCT05151120,France,Europe,FRA
961,NCT05251194,"Korea, Republic of",East Asia,KOR
966,NCT00001160,United States,North America,USA
969,NCT00001242,United States,North America,USA
970,NCT00169806,United States,North America,USA
971,NCT00342446,United States,North America,USA
973,NCT00410761,Australia,Pacifica,AUS
973,NCT00410761,Austria,Europe,AUT
973,NCT00410761,Belgium,Europe,BEL
973,NCT00410761,Brazil,South America,BRA
973,NCT00410761,Canada,North America,CAN
973,NCT00410761,Czechia,Europe,CZE
973,NCT00410761,Denmark,Europe,DNK
973,NCT00410761,France,Europe,FRA
973,NCT00410761,Germany,Europe,DEU
973,NCT00410761,Hungary,Europe,HUN
973,NCT00410761,India,South Asia,IND
973,NCT00410761,Italy,Europe,ITA
973,NCT00410761,"Korea, Republic of",East Asia,KOR
973,NCT00410761,Mexico,North America,MEX
973,NCT00410761,Netherlands,Europe,NLD
973,NCT00410761,Poland,Europe,POL
973,NCT00410761,Portugal,Europe,PRT
973,NCT00410761,Romania,Europe,ROU
973,NCT00410761,Russian Federation,North Asia,RUS
973,NCT00410761,Serbia,Europe,SRB
973,NCT00410761,Spain,Europe,ESP
973,NCT00410761,Sweden,Europe,SWE
973,NCT00410761,Switzerland,Europe,CHE
973,NCT00410761,United States,North America,USA
974,NCT00537095,Belgium,Europe,BEL
974,NCT00537095,Denmark,Europe,DNK
974,NCT00537095,France,Europe,FRA
974,NCT00537095,Norway,Europe,NOR
974,NCT00537095,Spain,Europe,ESP
974,NCT00537095,Sweden,Europe,SWE
974,NCT00537095,Switzerland,Europe,CHE
976,NCT00591032,Germany,Europe,DEU
977,NCT00673010,United States,North America,USA
980,NCT01074684,Italy,Europe,ITA
981,NCT01087619,Sweden,Europe,SWE
982,NCT01141309,United States,North America,USA
983,NCT01145040,Germany,Europe,DEU
985,NCT01236547,United States,North America,USA
986,NCT01263951,United States,North America,USA
987,NCT01298323,Australia,Pacifica,AUS
987,NCT01298323,Austria,Europe,AUT
987,NCT01298323,Belgium,Europe,BEL
987,NCT01298323,Brazil,South America,BRA
987,NCT01298323,Bulgaria,Europe,BGR
987,NCT01298323,Canada,North America,CAN
